audio_filename,motion_dirname
datasets/tokenizer_dataset/audio/c--20250115--1431--CRU017--ATM352--DSP345--NMT542--pilot--MotionPrior--DAYLIFE_Doing_chores_together--119508-128501/CRU017/audio_separated/c--20250115--1431--CRU017--ATM352--DSP345--NMT542--pilot--MotionPrior--DAYLIFE_Doing_chores_together--119508-128501.wav,datasets/tokenizer_dataset/smplx/c--20250115--1431--CRU017--ATM352--DSP345--NMT542--pilot--MotionPrior--DAYLIFE_Doing_chores_together--119508-128501/CRU017
datasets/tokenizer_dataset/audio/c--20250115--1431--CRU017--ATM352--DSP345--NMT542--pilot--MotionPrior--DAYLIFE_Doing_chores_together--119508-128501/DSP345/audio_separated/c--20250115--1431--CRU017--ATM352--DSP345--NMT542--pilot--MotionPrior--DAYLIFE_Doing_chores_together--119508-128501.wav,datasets/tokenizer_dataset/smplx/c--20250115--1431--CRU017--ATM352--DSP345--NMT542--pilot--MotionPrior--DAYLIFE_Doing_chores_together--119508-128501/DSP345
datasets/tokenizer_dataset/audio/c--20250115--1431--CRU017--ATM352--DSP345--NMT542--pilot--MotionPrior--DAYLIFE_Doing_chores_together--119508-128501/ATM352/audio_separated/c--20250115--1431--CRU017--ATM352--DSP345--NMT542--pilot--MotionPrior--DAYLIFE_Doing_chores_together--119508-128501.wav,datasets/tokenizer_dataset/smplx/c--20250115--1431--CRU017--ATM352--DSP345--NMT542--pilot--MotionPrior--DAYLIFE_Doing_chores_together--119508-128501/ATM352
datasets/tokenizer_dataset/audio/c--20250115--1431--CRU017--ATM352--DSP345--NMT542--pilot--MotionPrior--DAYLIFE_Doing_chores_together--119508-128501/NMT542/audio_separated/c--20250115--1431--CRU017--ATM352--DSP345--NMT542--pilot--MotionPrior--DAYLIFE_Doing_chores_together--119508-128501.wav,datasets/tokenizer_dataset/smplx/c--20250115--1431--CRU017--ATM352--DSP345--NMT542--pilot--MotionPrior--DAYLIFE_Doing_chores_together--119508-128501/NMT542
datasets/tokenizer_dataset/audio/c--20250113--1401--RVB240--GBM952--EYX463--UFK987--pilot--MotionPrior--ACTING_Investigating_a_Mysterious_Crime_Scene--096625-097374/RVB240/audio_separated/c--20250113--1401--RVB240--GBM952--EYX463--UFK987--pilot--MotionPrior--ACTING_Investigating_a_Mysterious_Crime_Scene--096625-097374.wav,datasets/tokenizer_dataset/smplx/c--20250113--1401--RVB240--GBM952--EYX463--UFK987--pilot--MotionPrior--ACTING_Investigating_a_Mysterious_Crime_Scene--096625-097374/RVB240
datasets/tokenizer_dataset/audio/c--20250113--1401--RVB240--GBM952--EYX463--UFK987--pilot--MotionPrior--ACTING_Investigating_a_Mysterious_Crime_Scene--096625-097374/GBM952/audio_separated/c--20250113--1401--RVB240--GBM952--EYX463--UFK987--pilot--MotionPrior--ACTING_Investigating_a_Mysterious_Crime_Scene--096625-097374.wav,datasets/tokenizer_dataset/smplx/c--20250113--1401--RVB240--GBM952--EYX463--UFK987--pilot--MotionPrior--ACTING_Investigating_a_Mysterious_Crime_Scene--096625-097374/GBM952
datasets/tokenizer_dataset/audio/c--20250113--1401--RVB240--GBM952--EYX463--UFK987--pilot--MotionPrior--ACTING_Investigating_a_Mysterious_Crime_Scene--096625-097374/UFK987/audio_separated/c--20250113--1401--RVB240--GBM952--EYX463--UFK987--pilot--MotionPrior--ACTING_Investigating_a_Mysterious_Crime_Scene--096625-097374.wav,datasets/tokenizer_dataset/smplx/c--20250113--1401--RVB240--GBM952--EYX463--UFK987--pilot--MotionPrior--ACTING_Investigating_a_Mysterious_Crime_Scene--096625-097374/UFK987
datasets/tokenizer_dataset/audio/c--20250113--1401--RVB240--GBM952--EYX463--UFK987--pilot--MotionPrior--ACTING_Investigating_a_Mysterious_Crime_Scene--096625-097374/EYX463/audio_separated/c--20250113--1401--RVB240--GBM952--EYX463--UFK987--pilot--MotionPrior--ACTING_Investigating_a_Mysterious_Crime_Scene--096625-097374.wav,datasets/tokenizer_dataset/smplx/c--20250113--1401--RVB240--GBM952--EYX463--UFK987--pilot--MotionPrior--ACTING_Investigating_a_Mysterious_Crime_Scene--096625-097374/EYX463
datasets/tokenizer_dataset/audio/c--20250129--1400--EUI309--JWC621--UIG832--AVA216--pilot--MotionPrior--ACTING_Exploring_a_new_island_destination--112882-117081/JWC621/audio_separated/c--20250129--1400--EUI309--JWC621--UIG832--AVA216--pilot--MotionPrior--ACTING_Exploring_a_new_island_destination--112882-117081.wav,datasets/tokenizer_dataset/smplx/c--20250129--1400--EUI309--JWC621--UIG832--AVA216--pilot--MotionPrior--ACTING_Exploring_a_new_island_destination--112882-117081/JWC621
datasets/tokenizer_dataset/audio/c--20250129--1400--EUI309--JWC621--UIG832--AVA216--pilot--MotionPrior--ACTING_Exploring_a_new_island_destination--112882-117081/EUI309/audio_separated/c--20250129--1400--EUI309--JWC621--UIG832--AVA216--pilot--MotionPrior--ACTING_Exploring_a_new_island_destination--112882-117081.wav,datasets/tokenizer_dataset/smplx/c--20250129--1400--EUI309--JWC621--UIG832--AVA216--pilot--MotionPrior--ACTING_Exploring_a_new_island_destination--112882-117081/EUI309
