audio_filename,motion_dirname
datasets/training_dataset/audio/c--20250115--1431--CRU017--ATM352--DSP345--NMT542--pilot--MotionPrior--ACTING_Thanksgiving_day--044413-045162/CRU017/audio_separated/c--20250115--1431--CRU017--ATM352--DSP345--NMT542--pilot--MotionPrior--ACTING_Thanksgiving_day--044413-045162.wav,datasets/training_dataset/smplx/c--20250115--1431--CRU017--ATM352--DSP345--NMT542--pilot--MotionPrior--ACTING_Thanksgiving_day--044413-045162/CRU017
datasets/training_dataset/audio/c--20250115--1431--CRU017--ATM352--DSP345--NMT542--pilot--MotionPrior--ACTING_Thanksgiving_day--044413-045162/DSP345/audio_separated/c--20250115--1431--CRU017--ATM352--DSP345--NMT542--pilot--MotionPrior--ACTING_Thanksgiving_day--044413-045162.wav,datasets/training_dataset/smplx/c--20250115--1431--CRU017--ATM352--DSP345--NMT542--pilot--MotionPrior--ACTING_Thanksgiving_day--044413-045162/DSP345
datasets/training_dataset/audio/c--20250115--1431--CRU017--ATM352--DSP345--NMT542--pilot--MotionPrior--ACTING_Thanksgiving_day--044413-045162/ATM352/audio_separated/c--20250115--1431--CRU017--ATM352--DSP345--NMT542--pilot--MotionPrior--ACTING_Thanksgiving_day--044413-045162.wav,datasets/training_dataset/smplx/c--20250115--1431--CRU017--ATM352--DSP345--NMT542--pilot--MotionPrior--ACTING_Thanksgiving_day--044413-045162/ATM352
datasets/training_dataset/audio/c--20250115--1431--CRU017--ATM352--DSP345--NMT542--pilot--MotionPrior--ACTING_Thanksgiving_day--044413-045162/NMT542/audio_separated/c--20250115--1431--CRU017--ATM352--DSP345--NMT542--pilot--MotionPrior--ACTING_Thanksgiving_day--044413-045162.wav,datasets/training_dataset/smplx/c--20250115--1431--CRU017--ATM352--DSP345--NMT542--pilot--MotionPrior--ACTING_Thanksgiving_day--044413-045162/NMT542
datasets/training_dataset/audio/c--20250124--1400--CKG723--AXN146--GQM807--MRJ778--pilot--MotionPrior--DAYLIFE_Group_Trip--208540-209139/CKG723/audio_separated/c--20250124--1400--CKG723--AXN146--GQM807--MRJ778--pilot--MotionPrior--DAYLIFE_Group_Trip--208540-209139.wav,datasets/training_dataset/smplx/c--20250124--1400--CKG723--AXN146--GQM807--MRJ778--pilot--MotionPrior--DAYLIFE_Group_Trip--208540-209139/CKG723
datasets/training_dataset/audio/c--20250124--1400--CKG723--AXN146--GQM807--MRJ778--pilot--MotionPrior--DAYLIFE_Group_Trip--208540-209139/GQM807/audio_separated/c--20250124--1400--CKG723--AXN146--GQM807--MRJ778--pilot--MotionPrior--DAYLIFE_Group_Trip--208540-209139.wav,datasets/training_dataset/smplx/c--20250124--1400--CKG723--AXN146--GQM807--MRJ778--pilot--MotionPrior--DAYLIFE_Group_Trip--208540-209139/GQM807
datasets/training_dataset/audio/c--20250124--1400--CKG723--AXN146--GQM807--MRJ778--pilot--MotionPrior--DAYLIFE_Group_Trip--208540-209139/MRJ778/audio_separated/c--20250124--1400--CKG723--AXN146--GQM807--MRJ778--pilot--MotionPrior--DAYLIFE_Group_Trip--208540-209139.wav,datasets/training_dataset/smplx/c--20250124--1400--CKG723--AXN146--GQM807--MRJ778--pilot--MotionPrior--DAYLIFE_Group_Trip--208540-209139/MRJ778
datasets/training_dataset/audio/c--20250124--1400--CKG723--AXN146--GQM807--MRJ778--pilot--MotionPrior--DAYLIFE_Group_Trip--208540-209139/AXN146/audio_separated/c--20250124--1400--CKG723--AXN146--GQM807--MRJ778--pilot--MotionPrior--DAYLIFE_Group_Trip--208540-209139.wav,datasets/training_dataset/smplx/c--20250124--1400--CKG723--AXN146--GQM807--MRJ778--pilot--MotionPrior--DAYLIFE_Group_Trip--208540-209139/AXN146
datasets/training_dataset/audio/c--20250110--1335--APU795--AVL958--BST815--ZVV024--pilot--MotionPrior--ACTING_Adult_Birthday_--066402-069251/AVL958/audio_separated/c--20250110--1335--APU795--AVL958--BST815--ZVV024--pilot--MotionPrior--ACTING_Adult_Birthday_--066402-069251.wav,datasets/training_dataset/smplx/c--20250110--1335--APU795--AVL958--BST815--ZVV024--pilot--MotionPrior--ACTING_Adult_Birthday_--066402-069251/AVL958
datasets/training_dataset/audio/c--20250110--1335--APU795--AVL958--BST815--ZVV024--pilot--MotionPrior--ACTING_Adult_Birthday_--066402-069251/ZVV024/audio_separated/c--20250110--1335--APU795--AVL958--BST815--ZVV024--pilot--MotionPrior--ACTING_Adult_Birthday_--066402-069251.wav,datasets/training_dataset/smplx/c--20250110--1335--APU795--AVL958--BST815--ZVV024--pilot--MotionPrior--ACTING_Adult_Birthday_--066402-069251/ZVV024
datasets/training_dataset/audio/c--20250110--1335--APU795--AVL958--BST815--ZVV024--pilot--MotionPrior--ACTING_Adult_Birthday_--066402-069251/APU795/audio_separated/c--20250110--1335--APU795--AVL958--BST815--ZVV024--pilot--MotionPrior--ACTING_Adult_Birthday_--066402-069251.wav,datasets/training_dataset/smplx/c--20250110--1335--APU795--AVL958--BST815--ZVV024--pilot--MotionPrior--ACTING_Adult_Birthday_--066402-069251/APU795
datasets/training_dataset/audio/c--20250110--1335--APU795--AVL958--BST815--ZVV024--pilot--MotionPrior--ACTING_Adult_Birthday_--066402-069251/BST815/audio_separated/c--20250110--1335--APU795--AVL958--BST815--ZVV024--pilot--MotionPrior--ACTING_Adult_Birthday_--066402-069251.wav,datasets/training_dataset/smplx/c--20250110--1335--APU795--AVL958--BST815--ZVV024--pilot--MotionPrior--ACTING_Adult_Birthday_--066402-069251/BST815
datasets/training_dataset/audio/c--20250129--1400--EUI309--JWC621--UIG832--AVA216--pilot--MotionPrior--DAYLIFE_Evening_free_time--176805-184904/JWC621/audio_separated/c--20250129--1400--EUI309--JWC621--UIG832--AVA216--pilot--MotionPrior--DAYLIFE_Evening_free_time--176805-184904.wav,datasets/training_dataset/smplx/c--20250129--1400--EUI309--JWC621--UIG832--AVA216--pilot--MotionPrior--DAYLIFE_Evening_free_time--176805-184904/JWC621
datasets/training_dataset/audio/c--20250129--1400--EUI309--JWC621--UIG832--AVA216--pilot--MotionPrior--DAYLIFE_Evening_free_time--176805-184904/EUI309/audio_separated/c--20250129--1400--EUI309--JWC621--UIG832--AVA216--pilot--MotionPrior--DAYLIFE_Evening_free_time--176805-184904.wav,datasets/training_dataset/smplx/c--20250129--1400--EUI309--JWC621--UIG832--AVA216--pilot--MotionPrior--DAYLIFE_Evening_free_time--176805-184904/EUI309
datasets/training_dataset/audio/c--20250129--1400--EUI309--JWC621--UIG832--AVA216--pilot--MotionPrior--DAYLIFE_Evening_free_time--176805-184904/AVA216/audio_separated/c--20250129--1400--EUI309--JWC621--UIG832--AVA216--pilot--MotionPrior--DAYLIFE_Evening_free_time--176805-184904.wav,datasets/training_dataset/smplx/c--20250129--1400--EUI309--JWC621--UIG832--AVA216--pilot--MotionPrior--DAYLIFE_Evening_free_time--176805-184904/AVA216
datasets/training_dataset/audio/c--20250129--1400--EUI309--JWC621--UIG832--AVA216--pilot--MotionPrior--DAYLIFE_Evening_free_time--176805-184904/UIG832/audio_separated/c--20250129--1400--EUI309--JWC621--UIG832--AVA216--pilot--MotionPrior--DAYLIFE_Evening_free_time--176805-184904.wav,datasets/training_dataset/smplx/c--20250129--1400--EUI309--JWC621--UIG832--AVA216--pilot--MotionPrior--DAYLIFE_Evening_free_time--176805-184904/UIG832
datasets/training_dataset/audio/c--20250221--1000--LBI931--XYY362--pilot--MotionPrior--ACTING_Investigating_a_Mysterious_Crime_Scene--057708-066704/XYY362/audio_separated/c--20250221--1000--LBI931--XYY362--pilot--MotionPrior--ACTING_Investigating_a_Mysterious_Crime_Scene--057708-066704.wav,datasets/training_dataset/smplx/c--20250221--1000--LBI931--XYY362--pilot--MotionPrior--ACTING_Investigating_a_Mysterious_Crime_Scene--057708-066704/XYY362
datasets/training_dataset/audio/c--20250221--1000--LBI931--XYY362--pilot--MotionPrior--ACTING_Investigating_a_Mysterious_Crime_Scene--057708-066704/LBI931/audio_separated/c--20250221--1000--LBI931--XYY362--pilot--MotionPrior--ACTING_Investigating_a_Mysterious_Crime_Scene--057708-066704.wav,datasets/training_dataset/smplx/c--20250221--1000--LBI931--XYY362--pilot--MotionPrior--ACTING_Investigating_a_Mysterious_Crime_Scene--057708-066704/LBI931
datasets/training_dataset/audio/c--20250123--1015--AGQ255--XVR313--pilot--MotionPrior--DAYLIFE_Evening_free_time--191199-195998/XVR313/audio_separated/c--20250123--1015--AGQ255--XVR313--pilot--MotionPrior--DAYLIFE_Evening_free_time--191199-195998.wav,datasets/training_dataset/smplx/c--20250123--1015--AGQ255--XVR313--pilot--MotionPrior--DAYLIFE_Evening_free_time--191199-195998/XVR313
datasets/training_dataset/audio/c--20250123--1015--AGQ255--XVR313--pilot--MotionPrior--DAYLIFE_Evening_free_time--191199-195998/AGQ255/audio_separated/c--20250123--1015--AGQ255--XVR313--pilot--MotionPrior--DAYLIFE_Evening_free_time--191199-195998.wav,datasets/training_dataset/smplx/c--20250123--1015--AGQ255--XVR313--pilot--MotionPrior--DAYLIFE_Evening_free_time--191199-195998/AGQ255
